STATE,LEA_NAME,SCHOOL,ISP,ISP_CATEGORY,PARTICIPATION,ENROLLMENT
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ANNANDALE ELEMENTARY,67.2%,60% and higher,Y,131
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,APPERSON STREET ELEMENTARY,42.4%,40%-50%,Y,380
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ARAGON AVENUE ELEMENTARY,70.6%,60% and higher,Y,214
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ARARAT CHARTER,47.5%,40%-50%,Y,120
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ARARAT CHARTER -  ERWIN-ANNEX,60.5%,60% and higher,Y,220
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ARLETA HIGH,57.0%,50%-60%,Y,1115
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ARLINGTON HEIGHTS ELEMENTARY,70.7%,60% and higher,Y,321
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ARMINTA CHILDREN'S CENTER,31.3%,25%-40%,Y,64
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ARMINTA STREET ELEMENTARY,68.5%,60% and higher,Y,394
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ARROYO SECO MUSEUM SCIENCE,50.1%,50%-60%,Y,441
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ASCOT AVENUE ELEMENTARY,74.6%,60% and higher,Y,694
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ATWATER AVENUE ELEMENTARY,38.4%,25%-40%,Y,331
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,AUDUBON MIDDLE,76.6%,60% and higher,Y,445
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,AUGUSTUS F. HAWKINS HIGH A CRITICAL DESIGN AND GAMING,69.8%,60% and higher,Y,1164
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,AURORA ELEMENTARY,72.6%,60% and higher,Y,368
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,AVALON GARDENS ELEMENTARY,62.9%,60% and higher,Y,175
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BALBOA GIFTED/HIGH ABILITY MAGNET ELEMENTARY,15.3%,Below 25%,Y,678
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BALDWIN HILLS ELEMENTARY,51.8%,50%-60%,Y,398
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BANDINI STREET ELEMENTARY,58.8%,50%-60%,Y,262
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BARACK OBAMA GLOBAL PREPARATION ACADEMY,78.1%,60% and higher,Y,393
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BARTON HILL ELEMENTARY,77.5%,60% and higher,Y,426
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BASSETT STREET ELEMENTARY,67.3%,60% and higher,Y,605
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BEACHY AVENUE ELEMENTARY,53.6%,50%-60%,Y,435
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BECKFORD CHARTER FOR ENRICHED STUDIES,16.9%,Below 25%,Y,593
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BEETHOVEN STREET ELEMENTARY,34.5%,25%-40%,Y,325
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BELL SENIOR HIGH,62.0%,60% and higher,Y,2265
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BELLINGHAM ELEMENTARY,73.0%,60% and higher,Y,444
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BELMONT SENIOR HIGH,72.0%,60% and higher,Y,976
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BELVEDERE ELEMENTARY,72.9%,60% and higher,Y,590
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BELVEDERE MIDDLE,69.5%,60% and higher,Y,722
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BENJAMIN BANNEKER CAREER AND TRANSITION CENTER,44.9%,40%-50%,Y,165
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BENJAMIN FRANKLIN SENIOR HIGH,56.3%,50%-60%,Y,1337
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BERENDO MIDDLE,74.8%,60% and higher,Y,626
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BERTRAND AVENUE ELEMENTARY,57.6%,50%-60%,Y,335
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BETTY PLASENCIA ELEMENTARY,71.8%,60% and higher,Y,465
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BILL CRUZ EARLY EDUCATION CTR.,61.9%,60% and higher,Y,63
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BIRDIELEE V. BRIGHT ELEMENTARY,69.0%,60% and higher,Y,409
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BLYTHE STREET ELEMENTARY,65.0%,60% and higher,Y,326
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BONITA STREET ELEMENTARY,48.0%,40%-50%,Y,423
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BOYLE HEIGHTS CONTINUATION,72.6%,60% and higher,Y,62
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BOYS ACADEMIC LEADERSHIP ACADEMY,78.1%,60% and higher,Y,82
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BRADDOCK DRIVE ELEMENTARY,29.2%,25%-40%,Y,569
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BRAINARD ELEMENTARY,49.7%,40%-50%,Y,155
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BREED STREET ELEMENTARY,76.1%,60% and higher,Y,280
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BRENTWOOD SCIENCE,62.5%,60% and higher,Y,240
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BRET HARTE PREPARATORY MIDDLE,81.3%,60% and higher,Y,448
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BRIDGE STREET ELEMENTARY,68.4%,60% and higher,Y,193
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BROAD AVENUE ELEMENTARY,51.5%,50%-60%,Y,536
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BROADACRES AVENUE ELEMENTARY,61.9%,60% and higher,Y,273
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BROADWAY ELEMENTARY,15.6%,Below 25%,Y,506
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BROCKTON AVENUE ELEMENTARY,52.0%,50%-60%,Y,227
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BROOKLYN AVE CHILDREN'S CENTER,33.3%,25%-40%,Y,69
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BROOKLYN AVENUE ELEMENTARY,67.3%,60% and higher,Y,486
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BRYSON AVENUE ELEMENTARY,49.7%,40%-50%,Y,733
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BUCHANAN STREET ELEMENTARY,46.9%,40%-50%,Y,294
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BUDLONG AVENUE ELEMENTARY,75.2%,60% and higher,Y,677
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BURBANK BOULEVARD ELEMENTARY,49.7%,40%-50%,Y,382
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BURTON STREET ELEMENTARY,67.3%,60% and higher,Y,303
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,BUSHNELL WAY ELEMENTARY,60.2%,60% and higher,Y,196
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CABRILLO AVE CHILDREN'S CENTER,41.4%,40%-50%,Y,70
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CABRILLO AVENUE ELEMENTARY,75.9%,60% and higher,Y,361
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CAHUENGA ELEMENTARY,58.4%,50%-60%,Y,353
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CAL BURKE HIGH,79.0%,60% and higher,Y,167
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CALABASH CHARTER ACADEMY,17.3%,Below 25%,Y,410
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CALAHAN STREET ELEMENTARY,48.6%,40%-50%,Y,500
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CALVERT CHARTER FOR ENRICHED STUDIES,49.9%,40%-50%,Y,331
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CAMELLIA AVENUE ELEMENTARY,63.4%,60% and higher,Y,470
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CANFIELD AVENUE ELEMENTARY,25.2%,25%-40%,Y,342
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CANOGA PARK CHILDREN'S CENTER,41.8%,40%-50%,Y,91
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CANOGA PARK ELEMENTARY,72.1%,60% and higher,Y,555
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CANOGA PARK SENIOR HIGH,63.0%,60% and higher,Y,1407
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CANTARA STREET ELEMENTARY,61.3%,60% and higher,Y,395
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CANTERBURY AVENUE ELEMENTARY,56.0%,50%-60%,Y,625
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CANYON CHARTER ELEMENTARY,7.2%,Below 25%,Y,387
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CAPISTRANO AVENUE ELEMENTARY,45.8%,40%-50%,Y,439
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CARLOS SANTANA ARTS ACADEMY,70.5%,60% and higher,Y,393
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CAROLDALE LEARNING COMMUNITY,44.4%,40%-50%,Y,692
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CAROUSEL,24.2%,Below 25%,Y,33
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CARPENTER COMMUNITY CHARTER,10.1%,Below 25%,Y,858
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CARSON SENIOR HIGH,43.0%,40%-50%,Y,2307
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CARSON STREET ELEMENTARY,46.6%,40%-50%,Y,650
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CARSON-GORE ACADEMY OF ENVIORNMENTAL STUDIES,75.2%,60% and higher,Y,403
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CARTHAY ELEMENTARY OF ENVIRONMENTAL STUDIES MAGNET,48.0%,40%-50%,Y,327
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CASTELAR STREET ELEMENTARY,58.1%,50%-60%,Y,596
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CASTLE HEIGHTS ELEMENTARY,20.7%,Below 25%,Y,512
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CASTLEBAY LANE CHARTER,15.6%,Below 25%,Y,609
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CATSKILL AVENUE ELEMENTARY,62.6%,60% and higher,Y,457
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CENTURY PARK ELEMENTARY,68.3%,60% and higher,Y,290
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CESAR CHAVEZ ELEMENTARY,70.8%,60% and higher,Y,209
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CESAR E. CHAVEZ LEARNING ACADEMIES-TECHNOLOGY PREPARATORY ACADEM,60.8%,60% and higher,Y,1553
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHANDLER ELEMENTARY,38.0%,25%-40%,Y,411
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHAPMAN ELEMENTARY,42.6%,40%-50%,Y,376
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHARLES DREW MIDDLE,79.1%,60% and higher,Y,932
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHARLES H. KIM ELEMENTARY,54.8%,50%-60%,Y,480
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHARLES LEROY LOWMAN SPECIAL EDUCATION AND CAREER TRANSITION CEN,39.5%,25%-40%,Y,147
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHARLES MACLAY MIDDLE,69.7%,60% and higher,Y,363
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHARLES W. BARRETT ELEMENTARY,73.2%,60% and higher,Y,582
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHARLES WHITE ELEMENTARY,76.6%,60% and higher,Y,290
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHARNOCK ROAD ELEMENTARY,54.9%,50%-60%,Y,284
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHASE EARLY EDUCATION CENTER,33.6%,25%-40%,Y,155
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHASE STREET ELEMENTARY,65.0%,60% and higher,Y,483
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHATSWORTH CHARTER HIGH,40.8%,40%-50%,Y,1613
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHATSWORTH PARK ES URBAN PLANNING/COMMUNITY DEVELOPMENT MAGNET,36.2%,25%-40%,Y,378
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHEREMOYA AVENUE ELEMENTARY,54.4%,50%-60%,Y,180
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHESTER W. NIMITZ MIDDLE,68.9%,60% and higher,Y,1176
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHEVIOT HILLS CONTINUATION,59.7%,50%-60%,Y,77
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHRISTOPHER COLUMBUS MIDDLE,68.2%,60% and higher,Y,699
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CHRISTOPHER DENA ELEMENTARY,75.4%,60% and higher,Y,390
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CIENEGA ELEMENTARY,66.1%,60% and higher,Y,430
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CIMARRON AVENUE ELEMENTARY,63.5%,60% and higher,Y,263
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CITY TERRACE ELEMENTARY,49.0%,40%-50%,Y,384
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CLEVELAND EARLY EDUCATION CTR,25.0%,25%-40%,Y,92
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CLIFFORD STREET ELEMENTARY,33.3%,25%-40%,Y,105
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CLOVER AVENUE ELEMENTARY,21.8%,Below 25%,Y,436
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,COEUR D'ALENE AVENUE ELEMENTARY,14.3%,Below 25%,Y,400
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,COHASSET STREET ELEMENTARY,62.3%,60% and higher,Y,512
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,COLDWATER CANYON ELEMENTARY,65.2%,60% and higher,Y,670
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,COLFAX CHARTER ELEMENTARY,19.8%,Below 25%,Y,736
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,COLISEUM STREET ELEMENTARY,70.5%,60% and higher,Y,247
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,COLUMBUS AVENUE,63.6%,60% and higher,Y,434
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,COMMONWEALTH AVENUE ELEMENTARY,60.5%,60% and higher,Y,559
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,COMMUNITY MAGNET CHARTER ELEMENTARY,15.1%,Below 25%,Y,430
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,COMPTON AVENUE ELEMENTARY,82.7%,60% and higher,Y,272
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CORONA AVENUE ELEMENTARY,69.8%,60% and higher,Y,645
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,COWAN AVENUE ELEMENTARY,42.9%,40%-50%,Y,392
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CRENSHAW SCIENCE, TECHNOLOGY, ENGINEERING, MATH AND MEDICINE MAG",68.4%,60% and higher,Y,529
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CRESCENT HEIGHTS BOULEVARD ELEMENTARY,58.0%,50%-60%,Y,212
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CRESCENT HEIGHTS CHILD CENTER,36.3%,25%-40%,Y,80
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,CRESTWOOD STREET ELEMENTARY,40.7%,40%-50%,Y,270
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DACOTAH CHILDREN'S CENTER,58.0%,50%-60%,Y,50
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DAHLIA HEIGHTS ELEMENTARY,11.8%,Below 25%,Y,373
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DAN M. ISSACS AVALON HIGH,81.3%,60% and higher,Y,75
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DANIEL PEARL JOURNALISM & COMMUNICATIONS MAGNET,43.2%,40%-50%,Y,213
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DANIEL WEBSTER MIDDLE,59.5%,50%-60%,Y,439
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,"DANNY J. BAKEWELL, SR., PRIMARY CENTER",76.1%,60% and higher,Y,176
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DANUBE AVENUE ELEMENTARY,46.4%,40%-50%,Y,306
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DARBY AVENUE ELEMENTARY,33.3%,25%-40%,Y,417
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DAVID ROBERTI CHILD DEVEL CTR,57.8%,50%-60%,Y,71
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DAVID STARR JORDAN SENIOR HIGH,77.2%,60% and higher,Y,795
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DAYTON HEIGHTS ELEMENTARY,66.4%,60% and higher,Y,274
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DAYTON HGTS EDUCATION CENTER,50.0%,50%-60%,Y,82
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DEARBORN ELEMENTARY CHARTER ACADEMY,40.8%,40%-50%,Y,520
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DEL AMO ELEMENTARY,47.7%,40%-50%,Y,319
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DELEVAN DRIVE ELEMENTARY,22.8%,Below 25%,Y,478
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DENKER AVENUE ELEMENTARY,48.6%,40%-50%,Y,673
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DIANE S. LEICHMAN CAREER PREPARATORY AND TRANSITION CENTER,27.0%,25%-40%,Y,148
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DIXIE CANYON COMMUNITY CHARTER,21.5%,Below 25%,Y,624
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DOLORES HUERTA ELEMENTARY,80.2%,60% and higher,Y,338
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DOLORES ST CHILDREN'S CENTER,33.7%,25%-40%,Y,95
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DOLORES STREET ELEMENTARY,47.5%,40%-50%,Y,507
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DOMINGUEZ ELEMENTARY,55.3%,50%-60%,Y,454
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DORRIS PLACE ELEMENTARY,52.6%,50%-60%,Y,253
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DOWNTOWN BUSINESS HIGH,57.0%,50%-60%,Y,844
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DR. JAMES EDWARD JONES PRIMARY CENTER,55.9%,50%-60%,Y,102
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DR. JULIAN NAVA LEARNING ACADEMY,77.0%,60% and higher,Y,627
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,"DR. LAWRENCE H. MOORE MATH, SCIENCE, TECHNOLOGY ACADEMY",76.7%,60% and higher,Y,546
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DR. MAYA ANGELOU COMMUNITY HIGH,72.7%,60% and higher,Y,1096
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DR. OWEN LLOYD KNOX ELEMENTARY,76.5%,60% and higher,Y,682
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DR. RICHARD A. VLADOVIC HARBOR TEACHER PREPARATION ACADEMY,28.6%,25%-40%,Y,448
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DR. SAMMY LEE MEDICAL AND HEALTH SCIENCE MAGNET ELEMENTARY,64.5%,60% and higher,Y,580
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DR. THEODORE T. ALEXANDER JR. SCIENCE CENTER,56.3%,50%-60%,Y,600
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DUBNOFF NPS,46.7%,40%-50%,Y,30
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,DYER STREET ELEMENTARY,59.3%,50%-60%,Y,577
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EAGLE ROCK ELEMENTARY,21.8%,Below 25%,Y,761
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EAGLE ROCK HIGH,27.9%,25%-40%,Y,2051
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EAGLE TREE CONTINUATION,56.7%,50%-60%,Y,67
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EAST VALLEY SENIOR HIGH,62.6%,60% and higher,Y,529
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EASTMAN AVE CHILDREN'S CENTER,45.5%,40%-50%,Y,66
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EASTMAN AVENUE ELEMENTARY,71.2%,60% and higher,Y,642
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EDWARD R. ROYBAL LEARNING CENTER,69.8%,60% and higher,Y,1079
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EDWIN MARKHAM MIDDLE,84.5%,60% and higher,Y,657
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EL DORADO AVENUE ELEMENTARY,70.3%,60% and higher,Y,387
